run_id,exp_name,algorithm,phase,episode,seed,map_name,rows,cols,alpha,gamma,epsilon,reward_setting,max_steps,total_reward,steps,success,terminated,truncated,hit_trap,elapsed_sec,qtable_path
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,1,456,easy,5,5,0.1,0.8,0.199,default,100,-16.0,7,0,1,0,1,0.0013395250002758985,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,2,456,easy,5,5,0.1,0.8,0.19800500000000001,default,100,-74.0,65,0,1,0,1,0.008218484000281023,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,3,456,easy,5,5,0.1,0.8,0.197014975,default,100,-37.0,48,1,1,0,0,0.0058031309999933,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,4,456,easy,5,5,0.1,0.8,0.19602990012500002,default,100,-73.0,64,0,1,0,1,0.007784772999912093,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,5,456,easy,5,5,0.1,0.8,0.19504975062437502,default,100,-36.0,47,1,1,0,0,0.005640757000037411,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,6,456,easy,5,5,0.1,0.8,0.19407450187125314,default,100,-50.0,61,1,1,0,0,0.007692921999932878,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,7,456,easy,5,5,0.1,0.8,0.19310412936189686,default,100,-74.0,85,1,1,0,0,0.01005991100009851,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,8,456,easy,5,5,0.1,0.8,0.19213860871508737,default,100,-16.0,7,0,1,0,1,0.0010713810002016544,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,9,456,easy,5,5,0.1,0.8,0.19117791567151193,default,100,-53.0,44,0,1,0,1,0.005195653999635397,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,10,456,easy,5,5,0.1,0.8,0.19022202609315436,default,100,-19.0,30,1,1,0,0,0.003972070000145322,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,11,456,easy,5,5,0.1,0.8,0.18927091596268858,default,100,-55.0,66,1,1,0,0,0.007984093000231951,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,12,456,easy,5,5,0.1,0.8,0.18832456138287512,default,100,-30.0,41,1,1,0,0,0.00475081800004773,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,13,456,easy,5,5,0.1,0.8,0.18738293857596075,default,100,-15.0,26,1,1,0,0,0.003391437000118458,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,14,456,easy,5,5,0.1,0.8,0.18644602388308096,default,100,-25.0,36,1,1,0,0,0.004333728999881714,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,15,456,easy,5,5,0.1,0.8,0.18551379376366556,default,100,-24.0,35,1,1,0,0,0.004193236999981309,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,16,456,easy,5,5,0.1,0.8,0.18458622479484724,default,100,-25.0,16,0,1,0,1,0.0020369389999359555,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,17,456,easy,5,5,0.1,0.8,0.183663293670873,default,100,-19.0,30,1,1,0,0,0.0035320480001246324,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,18,456,easy,5,5,0.1,0.8,0.18274497720251864,default,100,-24.0,35,1,1,0,0,0.004410289000134071,
sarsa_gamma_0.8_sarsa_456_5a1fa75b,sarsa_gamma_0.8,sarsa,train,19,456,easy,5,5,0.1,0.8,0.18183125231650604,default,100,-26.0,37,1,1,0,0,0.004520111000147153,
